word,freqRel
agent,6.03865
system,3.38164
multi,2.41546
control,2.41546
consensus,1.93237
time,1.69082
scheme,1.44928
based,1.20773
method,1.20773
tracking,1.20773
paper,0.96618
model,0.96618
presented,0.96618
problem,0.96618
finite,0.96618
loop,0.96618
organizational,0.96618
intelligent,0.72464
level,0.72464
information,0.72464
cooperative,0.72464
application,0.72464
optimal,0.72464
controller,0.72464
communication,0.72464
proposed,0.72464
practice,0.72464
last,0.72464
real,0.72464
rtmas,0.72464
decision,0.48309
support,0.48309
data,0.48309
integrated,0.48309
finally,0.48309
masdss,0.48309
established,0.48309
solving,0.48309
distributed,0.48309
near,0.48309
performance,0.48309
state,0.48309
using,0.48309
example,0.48309
demonstrate,0.48309
nonlinear,0.48309
focus,0.48309
neighboring,0.48309
protocol,0.48309
ensuring,0.48309
achieve,0.48309
effectiveness,0.48309
recommended,0.48309
industrial,0.48309
low,0.48309
interfacing,0.48309
defined,0.48309
study,0.48309
open,0.48309
closed,0.48309
order,0.48309
desired,0.48309
trajectory,0.48309
virtual,0.48309
leader,0.48309
topology,0.48309
one,0.48309
error,0.48309
iteration,0.48309
law,0.48309
analysis,0.48309
sufficient,0.48309
result,0.48309
aspect,0.48309
auml,0.48309
introduces,0.24155
intention,0.24155
upgrade,0.24155
power,0.24155
grid,0.24155
dispatching,0.24155
utilizes,0.24155
scada,0.24155
fault,0.24155
source,0.24155
living,0.24155
environment,0.24155
research,0.24155
focused,0.24155
architecture,0.24155
strategy,0.24155
show,0.24155
advantageous,0.24155
individual,0.24155
side,0.24155
share,0.24155
multiple,0.24155
dimensional,0.24155
double,0.24155
integrator,0.24155
developed,0.24155
index,0.24155
regarding,0.24155
behavior,0.24155
respect,0.24155
difference,0.24155
effort,0.24155
taylor,0.24155
expansion,0.24155
analytical,0.24155
simulative,0.24155
address,0.24155
cycle,0.24155
graph,0.24155
unlike,0.24155
existing,0.24155
work,0.24155
lower,0.24155
triangular,0.24155
subsystem,0.24155
local,0.24155
among,0.24155
propose,0.24155
give,0.24155
illustrate,0.24155
solve,0.24155
interface,0.24155
applying,0.24155
namely,0.24155
integrating,0.24155
software,0.24155
automation,0.24155
device,0.24155
context,0.24155
cyber,0.24155
physical,0.24155
described,0.24155
particular,0.24155
select,0.24155
best,0.24155
given,0.24155
scenario,0.24155
user,0.24155
set,0.24155
available,0.24155
template,0.24155
technology,0.24155
aiming,0.24155
improve,0.24155
reuse,0.24155
consistency,0.24155
transparency,0.24155
integration,0.24155
function,0.24155
implementing,0.24155
type,0.24155
iterative,0.24155
learning,0.24155
ilc,0.24155
fractional,0.24155
fomass,0.24155
delay,0.24155
constructed,0.24155
introducing,0.24155
fixed,0.24155
considered,0.24155
subset,0.24155
follower,0.24155
access,0.24155
designed,0.24155
individually,0.24155
according,0.24155
current,0.24155
running,0.24155
continuously,0.24155
corrects,0.24155
combination,0.24155
weight,0.24155
obtain,0.24155
ideal,0.24155
rigorous,0.24155
condition,0.24155
ensure,0.24155
asymptotically,0.24155
consistent,0.24155
output,0.24155
along,0.24155
axis,0.24155
within,0.24155
interval,0.24155
numerical,0.24155
simulation,0.24155
provide,0.24155
meaningful,0.24155
comparison,0.24155
year,0.24155
several,0.24155
literature,0.24155
social,0.24155
considerably,0.24155
forwarded,0.24155
domain,0.24155
different,0.24155
paradigm,0.24155
improving,0.24155
development,0.24155
process,0.24155
however,0.24155
totally,0.24155
omitted,0.24155
constraint,0.24155
important,0.24155
construction,0.24155
present,0.24155
survey,0.24155
extension,0.24155
diagram,0.24155
describing,0.24155
requirement,0.24155
approach,0.24155
considers,0.24155
jointly,0.24155
functional,0.24155
static,0.24155
dynamic,0.24155
aim,0.24155
combine,0.24155
advantage,0.24155
concept,0.24155
extracted,0.24155
five,0.24155
organization,0.24155
methodology,0.24155
single,0.24155
technique,0.24155
since,0.24155
phase,0.24155
