word,counter
agent,61901
system,35646
multi,19686
paper,14264
control,14043
problem,12742
based,12613
consensus,11650
proposed,10119
distributed,9911
simulation,8484
algorithm,8220
network,8170
model,8110
result,8015
time,7273
approach,6568
information,5827
state,5813
order,5737
method,5708
communication,5614
using,5547
different,5508
dynamic,5322
cloud,5065
learning,4823
protocol,4414
ha,4399
intelligent,4273
architecture,4155
function,4150
finally,4129
design,4081
condition,4055
application,4045
software,4011
environment,3860
study,3831
example,3770
also,3751
one,3734
strategy,3727
behavior,3651
first,3606
used,3547
present,3480
leader,3422
service,3370
task,3287
research,3279
controller,3233
theory,3143
presented,3110
bus,3045
matrix,3043
robot,3035
adaptive,2978
propose,2968
group,2966
two,2946
regulation,2908
action,2877
output,2867
multiagent,2864
topology,2863
set,2837
show,2830
formation,2812
decision,2803
developed,2776
given,2741
cooperative,2727
technology,2702
delay,2688
graph,2675
interaction,2655
platform,2628
framework,2540
team,2527
optimal,2518
data,2506
designed,2505
effectiveness,2471
convergence,2468
sufficient,2466
case,2456
search,2441
process,2427
event,2389
make,2381
high,2375
numerical,2246
new,2245
error,2232
objective,2221
stability,2213
cost,2201
management,2188
unknown,2186
034,2179
derived,2160
traffic,2149
mechanism,2134
development,2124
analysis,2115
disturbance,2100
work,2085
feedback,2068
performance,2059
neighbor,2051
scheme,2042
voltage,2022
linear,2000
solution,1971
bipartite,1959
resource,1938
second,1931
support,1912
space,1907
complex,1894
level,1889
shown,1870
user,1868
composition,1845
experimental,1841
local,1836
theoretical,1831
wa,1831
trading,1830
power,1820
achieve,1797
introduced,1791
tool,1781
need,1779
parameter,1762
use,1756
multiple,1750
goal,1723
moreover,1702
law,1698
self,1697
lyapunov,1672
demonstrate,1662
however,1662
desired,1660
nonlinear,1645
test,1644
knowledge,1640
phase,1638
consider,1634
coordination,1633
tracking,1630
many,1613
e,1601
velocity,1573
optimization,1566
autonomous,1562
individual,1561
solve,1550
decentralized,1509
term,1509
energy,1501
exchange,1499
effective,1493
neural,1490
mean,1486
existing,1486
single,1485
structure,1485
technique,1483
global,1480
follower,1477
number,1470
connected,1465
stop,1446
appropriate,1440
active,1435
several,1431
position,1419
converge,1415
evolution,1410
change,1402
guaranteed,1386
market,1371
noise,1371
bounded,1367
obtained,1357
computer,1343
way,1340
reinforcement,1339
point,1329
develop,1306
input,1302
compared,1300
real,1280
within,1264
soccer,1257
efficiency,1256
various,1254
well,1252
provided,1251
among,1243
interface,1240
provides,1240
methodology,1239
rule,1237
searching,1234
independent,1233
experiment,1230
according,1226
criterion,1223
computing,1223
directed,1221
improve,1219
varying,1209
purpose,1199
form,1199
operation,1187
large,1183
mobile,1183
trajectory,1180
corresponding,1179
value,1179
focus,1167
address,1162
triggered,1159
heterogeneous,1146
policy,1141
game,1133
fault,1129
non,1128
efficient,1122
smart,1121
validate,1117
important,1109
type,1104
learn,1103
integration,1102
illustrate,1101
allows,1091
implementation,1090
able,1085
impact,1079
domain,1063
issue,1063
help,1058
object,1056
probability,1055
period,1040
generator,1036
class,1036
loss,1032
distribution,1031
source,1030
furthermore,1022
switching,1021
therefore,1018
including,1015
proposes,1004
finite,992
grid,986
investigates,984
ensure,979
may,979
flexible,976
component,974
markov,973
fractional,971
provide,970
mass,967
intermittent,962
packet,960
analyzed,959
implemented,959
intelligence,957
estimate,946
discrete,946
vehicle,946
initial,943
suitable,936
average,932
modeling,927
interested,924
without,924
concept,922
behavioral,921
internet,906
virtual,906
pattern,905
variable,899
novel,897
ra,888
even,884
marketplace,882
scm,879
property,876
designing,875
constraint,875
guarantee,874
feature,874
presence,870
negotiation,868
necessary,868
highway,867
networked,861
sampling,861
la,859
extended,859
assumption,859
field,856
considered,855
update,855
elasticity,854
verify,853
swapping,852
fa,852
together,852
continuous,851
archisim,849
esosa,849
current,844
driven,843
operator,835
lt,834
discussed,834
motion,831
human,828
asymptotically,827
ability,824
challenge,823
industrial,821
investigate,819
applied,818
making,816
target,815
cooperation,809
fixed,808
automation,801
via,796
deal,794
collaborative,794
determine,792
flocking,788
dependent,787
gain,786
four,784
image,783
requirement,783
last,780
free,779
language,777
artificial,775
thus,775
situation,774
advantage,772
specific,763
move,761
act,757
random,754
general,754
belief,753
reward,752
discus,752
evolutionary,749
measurement,746
hybrid,746
main,746
modern,745
maintenance,744
mathematical,744
evaluation,739
combining,739
practice,739
transportation,738
identify,738
observer,738
load,736
realized,733
device,733
widely,730
monitor,730
increase,727
specified,725
2,725
challenging,723
relevant,723
physical,720
road,716
rate,715
established,713
effect,713
required,708
wind,703
take,703
running,702
assessment,701
business,700
entire,696
open,696
layer,693
explore,692
following,691
consists,689
theorem,683
arbitrary,682
code,681
driver,679
provider,670
flow,669
reference,669
shape,668
know,667
addition,666
involving,665
crucial,663
chain,662
