word,counter
agent,25
system,14
control,10
multi,10
consensus,8
time,7
scheme,6
tracking,5
method,5
based,5
organizational,4
loop,4
finite,4
problem,4
presented,4
model,4
paper,4
rtmas,3
real,3
last,3
practice,3
proposed,3
communication,3
controller,3
optimal,3
application,3
cooperative,3
information,3
level,3
intelligent,3
auml,2
aspect,2
result,2
sufficient,2
analysis,2
law,2
iteration,2
error,2
one,2
topology,2
leader,2
virtual,2
trajectory,2
desired,2
order,2
closed,2
open,2
study,2
defined,2
interfacing,2
low,2
industrial,2
recommended,2
effectiveness,2
achieve,2
ensuring,2
protocol,2
neighboring,2
focus,2
nonlinear,2
demonstrate,2
example,2
using,2
state,2
performance,2
near,2
distributed,2
solving,2
established,2
masdss,2
finally,2
integrated,2
data,2
support,2
decision,2
phase,1
since,1
technique,1
single,1
methodology,1
organization,1
five,1
extracted,1
concept,1
advantage,1
combine,1
aim,1
dynamic,1
static,1
functional,1
jointly,1
considers,1
approach,1
requirement,1
describing,1
diagram,1
extension,1
survey,1
present,1
construction,1
important,1
constraint,1
omitted,1
totally,1
however,1
process,1
development,1
improving,1
paradigm,1
different,1
domain,1
forwarded,1
considerably,1
social,1
literature,1
several,1
year,1
comparison,1
meaningful,1
provide,1
simulation,1
numerical,1
interval,1
within,1
axis,1
along,1
output,1
consistent,1
asymptotically,1
ensure,1
condition,1
rigorous,1
ideal,1
obtain,1
weight,1
combination,1
corrects,1
continuously,1
running,1
current,1
according,1
individually,1
designed,1
access,1
follower,1
subset,1
considered,1
fixed,1
introducing,1
constructed,1
delay,1
fomass,1
fractional,1
ilc,1
learning,1
iterative,1
type,1
implementing,1
function,1
integration,1
transparency,1
consistency,1
reuse,1
improve,1
aiming,1
technology,1
template,1
available,1
set,1
user,1
scenario,1
given,1
best,1
select,1
particular,1
described,1
physical,1
cyber,1
context,1
device,1
automation,1
software,1
integrating,1
namely,1
applying,1
interface,1
solve,1
illustrate,1
give,1
propose,1
among,1
local,1
subsystem,1
triangular,1
lower,1
work,1
existing,1
unlike,1
graph,1
cycle,1
address,1
simulative,1
analytical,1
expansion,1
taylor,1
effort,1
difference,1
respect,1
behavior,1
regarding,1
index,1
developed,1
integrator,1
double,1
dimensional,1
multiple,1
share,1
side,1
individual,1
advantageous,1
show,1
strategy,1
architecture,1
focused,1
research,1
environment,1
living,1
source,1
fault,1
scada,1
utilizes,1
dispatching,1
grid,1
power,1
upgrade,1
intention,1
introduces,1
