page_num|art_num|type|year|author|title|abstract
1|7379121|Conference Paper|2015|Moamin A. Mahmoud|A self-adaptive customer-oriented framework for intelligent strategic marketing: A multi-agent system approach to website development for learning institutions|In this paper, we argue that current universities'; websites provide essential information for visitors but they do not support strategic marketing issues. Consequently, this paper discusses the possibility of proposing an intelligent strategic marketing via self-adaptive customer-oriented website. The idea is to provide a satisfying factor for visitors once they click and open a university';s website page. The proposed framework consists of three main phases which are, e-questionnaire development, grouping society process, and tactical adaptation process. The first phase is achieved by conducting interviews with different people from different areas about their main concerns when they select a university and subsequently come up with an e-questionnaire. The second phase is operated by a multi-agent system that analyzes a society member';s responses to the e-questionnaire and discovers the member';s various preferences. The third phase is operated by a facilitator agent that performs tactical adaption to the website';s content via a customer-oriented approach. The customer-oriented approach works on matching each group preferences with the website content. Finally, the self-adaptive website displays materials to these groups according to their preferences.
1|7477185|Conference Paper|2015|A. Halinka|Agent model of multi-agent system for area power system protection|The paper presents the defined conception of the agent structure of the multi-agent system that performs the tasks of power system protection. The required input data sets and the input agents that provide observability of the power system were determined. The paper also proposes the agent input data acquisition ways that allow fast access to power system status information. The proposal of agents'; attributes that define their functionality in spatially and layered distributed structure of the multi-agent systems was also discussed. The paper presents also the simulation results evolving from the implementation of the agents'; functionalities in the digital power line distance protections.
1|5228086|Conference Paper|2009|Shibakali Gupta|A multi-agent system (MAS) based scheme for health care and medical diagnosis system|In recent era, health care professionals truly belief that the better health care can be provided by developing computerized intelligent health care system. In this paper, we attempted to propose an advanced scheme of agent-based health care and medical diagnosis system using the knowledge base and collaborative as well as co-operative intelligent agents residing on a multi-agent platform, which provides a communicative task-sharing environment. A user-friendly interface of this system will provide high performance, reliability and functionality.
1|7379782|Conference Paper|2015|Nurul Ai'zah Musa|Issues and challenges of forensics analysis of agents' behavior in multi-agent systems: A critical review|This paper presents the review of issues and challenges of forensic analysis to monitor agent behavior in Multi-agent systems from various different perspective. This includes a comprehensive study of existing forensic analysis framework available across literature. In addition, a critical study on forensic studies of Multi-agents systems is also presented. Finally, this paper presents the opportunities of forensics analysis framework in monitoring agents'; behavior in Multi-Agent Systems based on the critical analysis conducted on existing framework.
1|5228092|Conference Paper|2009|Naresh Kumar Nagwani|Performance measurement analysis for multi-agent systems|A multi agent system (MAS) consists of number of software agents working together for an application. Agent communication, co-ordination and agent management are the important modules of any MAS, which makes MAS a very complex system. These complex systems require lot of analysis for keeping up the good performance. In this paper number of parameters associated with a multiagent system is discussed for performance analysis. Various categories of MAS communication models are also discussed. A profiling technique is also suggested for a multi agent system.
1|9574653|Journal Article|2021|Qi Duo|Research on consensus of multi-agent systems with and without input saturation constraints|In recent years, with the continuous development of multi-agent technology represented by unmanned aerial vehicle (UAV) swarm, consensus control has become a hot spot in academic research. In this paper, we put forward a discrete-time consensus protocol and obtain the necessary and sufficient conditions for the second-order consensus of the second-order multi-agent system with a fixed structure under the condition of no saturation input. The theoretical derivation verifies that the two eigenvalues of the Laplacian of the communication network matrix and the sampling period have an important effect on achieving consensus. Then we construct and verify sufficient conditions to achieve consensus under the condition of input saturation constraints. The results show that consensus can be achieved if velocity, position gain, and sampling period satisfy a set of inequalities related to the eigenvalues of the Laplacian matrix. Finally, the accuracy and validity of the theoretical results are proved by numerical simulations.
1|5228019|Conference Paper|2009|Mechaoui Moulay Driss|A multi-agent system for collaborative editing in mobile networks and P2P|In this article, we propose a multi-agent based mobile agent to design an editor that uses the collaborative approach to operational transformed as a method of optimization for the reconciliation of divergent data in mobile and P2P environments. This system allows the location of staff and communication between them in the mobile and P2P environments, and also works in asynchronous mode in the case of disconnection.
1|6639572|Conference Paper|2013|Zhengquan Yang|A novel adaptive flocking algorithm for multi-agents system with time delay and nonlinear dynamics|In this paper, flocking problem of multi-agents with time delay is investigated. All agents of the system are governed by a nonlinear intrinsic dynamics. An adaptive flocking algorithm for multi-agents system with time delay and nonlinear dynamics is proposed. It is proved that the distance between agents can be larger than a constant during the motion evolution by using the flocking algorithm. Moreover all agents'; velocities asymptotically tend to the same. The simulation results verify the effectiveness of the proposed scheme.
1|5228095|Conference Paper|2009|R. D. Gawali|Agent-based autonomous Examination Systems|Online computerized examination systems is developed using software agent technology. Multi-agent system containing main agent, mobile agent and stationery agent is developed to support the functionality of examination systems in Aglet environment. All these agents in the system communicate with each other to process the operations requested by the user. Authentication of the examinee for valid user name and password is done by the stationary agents at user authentication module and database with the help of mobile agent. After successful authentication and selection of subject by examinee, mobile agent collects questions, their alternatives and correct answer retrieved by stationary agent from the database. These questions are displayed to the examinee. As examinee goes on answering these questions, main agent stores the answer given by examinee in database and updates the score. When the examination gets over, the main agent processes the result and displays result.
1|6839545|Conference Paper|2014|Kazimierz Wilkosz|Utilization of multi-agent system for power system topology verification|The paper presents a modern solution of the problem of power system topology verification. Features of that solution are scalability, openness, flexibility and conformance to industry standards systems. In the paper, power system topology verification with the use of a multi-agent system is described. Different variants of the multi-agent system are considered. For those variants, a number of used intelligent agents is different. Modifications of the first variant of the multi-agent system lead to decreasing a number of the agents, which are taken into account, and at the same time to increasing system performance.
